event,file_event,lam,prt_index,lam_pdg,lam_mom_x,lam_mom_y,lam_mom_z,lam_endpoint_x,lam_endpoint_y,lam_endpoint_z
2399,2398,0,4,3122,-1.0821304321289062,-0.07822643220424652,39.75310134887695,-129.02274174755826,-9.33836244620601,4656.2736092640625
2402,2401,0,4,3122,-0.9554362297058105,-0.05921321362257004,40.84256362915039,-104.42460934551252,-6.468865059455573,4462.290321955683
2407,2406,0,4,3122,-0.9422539472579956,-0.045716751366853714,38.449195861816406,-332.8322197507001,-16.13319209543834,13539.774668553511
2411,2410,0,4,3122,-0.8933332562446594,0.10157278925180435,40.3450927734375,-110.2859551399787,12.580773415365128,5017.560950029849
2425,2424,0,4,3122,-1.077634572982788,0.07685568928718567,39.442138671875,-198.71886854689436,14.165405396279116,7284.376909205162
2426,2425,0,4,3122,-1.1370518207550049,-0.06762183457612991,40.27338790893555,-346.5896741941047,-20.60672533307107,12339.443900144583
2427,2426,0,4,3122,-1.0943692922592163,0.07988633215427399,39.12042999267578,-97.2000351299761,7.093215993392428,3464.3888776050426
2428,2427,0,4,3122,-1.0797300338745117,-0.021262237802147865,39.08180618286133,-105.55066236732083,-2.0591088422500583,3808.745300755899
2430,2429,0,4,3122,-1.0814727544784546,-0.0051980093121528625,40.88791275024414,-208.40964691248337,-1.0321304097040636,7955.146013821155
2434,2433,0,4,3122,-0.8802028298377991,-0.011932628229260445,38.640865325927734,-76.38935337386158,-1.039465662796997,3330.875044740268
2436,2435,0,4,3122,-0.8471578359603882,0.00984058529138565,39.358863830566406,-88.86883422455813,1.0605142975776394,4169.1098957734885
2444,2443,0,4,3122,-0.9757206439971924,-0.08519076555967331,38.5369758605957,-161.96268197615643,-14.147282337845622,6432.21473752833
2445,2444,0,4,3122,-1.054885983467102,0.014567308127880096,39.84138488769531,-145.53826753664669,2.0213580598709453,5471.964149700758
2446,2445,0,4,3122,-0.8849745392799377,-0.09420273452997208,40.484405517578125,-135.66010947031043,-14.420894966167303,6189.5144217208
2449,2448,0,4,3122,-1.0075876712799072,0.10524757206439972,40.06761932373047,-83.17985948111067,8.705360340670694,3398.1490949453632
2472,2471,0,4,3122,-1.09382963180542,-0.024930566549301147,40.7457275390625,-122.32320441082128,-2.759767441397136,4500.415099315225
2475,2474,0,4,3122,-1.0016694068908691,-0.174143448472023,40.6347541809082,-146.48978603989386,-25.4540448063212,5921.869763961628
2479,2478,0,4,3122,-1.0803145170211792,-0.07841452211141586,40.127113342285156,-345.3437065799017,-25.064497388282028,12776.982043625541
2493,2492,0,4,3122,-0.9729743003845215,0.1496642380952835,39.734291076660156,-110.0224949045799,16.89698440092391,4498.143433257081
2496,2495,0,4,3122,-0.8883317112922668,0.11171934753656387,40.71870040893555,-147.21022808661158,18.530882382297616,6811.35458636468
2504,2503,0,4,3122,-0.9723334312438965,-0.06931303441524506,40.407135009765625,-152.9179966094576,-10.93566645034972,6371.864165457552
2509,2508,0,4,3122,-0.9465455412864685,-0.0192716047167778,38.82305908203125,-123.06584689689531,-2.5541374266903842,5040.858458160079
2515,2514,0,4,3122,-0.9219789505004883,0.172981396317482,40.40363311767578,-144.22625628699748,27.0724733128896,6332.338472453356
2516,2515,0,4,3122,-1.0765141248703003,0.0385468453168869,38.889183044433594,-187.59904349873136,6.717564595102115,6775.045303444838
2520,2519,0,4,3122,-0.8273196816444397,-0.04964989796280861,40.083534240722656,-78.80878128145996,-4.7471677976172995,3833.713917969793
2524,2523,0,4,3122,-1.0000224113464355,-0.10591991990804672,39.86280059814453,-106.98691154914614,-11.337843669307281,4286.215313492455
2525,2524,0,4,3122,-1.0970994234085083,0.1432497203350067,40.643157958984375,-99.30662590231059,12.913707829298763,3690.7850643079746
2528,2527,0,4,3122,-1.0815094709396362,0.12459982931613922,40.94536590576172,-239.6793055534346,27.610461720246253,9052.273650516956
2533,2532,0,4,3122,-1.01155424118042,0.1543322503566742,40.55191421508789,-86.39891457181503,13.14641674720967,3546.1056249542344
2537,2536,0,4,3122,-1.1142674684524536,0.05993155017495155,39.72354507446289,-587.9464625143929,31.62776848447632,21041.251964657775
2542,2541,0,4,3122,-0.8619934320449829,0.14729568362236023,40.771690368652344,-146.81493688679993,25.102583305186634,6949.798642119178
2543,2542,0,4,3122,-0.9113990664482117,0.12626774609088898,38.55915069580078,-126.05104165956718,17.404354723138187,5243.621073666445
2544,2543,0,4,3122,-0.9608204364776611,0.1627606600522995,40.46562194824219,-118.27987723674255,20.067645688920827,5038.2383109558505
2553,2552,0,4,3122,-0.9566609859466553,-0.0330049954354763,38.66238021850586,-165.71492105872358,-5.723504897412317,6624.488962765054
2556,2555,0,4,3122,-1.1413291692733765,-0.05165627598762512,40.208709716796875,-447.03320935925194,-20.25986168820568,15805.231612937172
2565,2564,0,4,3122,-1.1119328737258911,-0.09237833321094513,40.24086380004883,-121.8445253626459,-10.128763164628323,4355.148338318688
2567,2566,0,4,3122,-0.9177362322807312,0.018405871465802193,40.903907775878906,-215.62887978807,4.339459186211811,9599.643022672313
2572,2571,0,4,3122,-0.8943110704421997,-0.0695279911160469,38.51320266723633,-330.77063801815586,-25.7081779420539,14288.903179277342
2575,2574,0,4,3122,-1.0994770526885986,-0.1210847869515419,40.37629699707031,-100.55947682366515,-11.06439997747411,3635.3534690268434
2578,2577,0,4,3122,-1.1148736476898193,-0.03817735239863396,39.75743103027344,-375.7766303596836,-12.853597620520912,13407.103779789233
2582,2581,0,4,3122,-0.9639893770217896,0.00921526551246643,37.863067626953125,-291.1155745368211,2.7823037448069385,11481.06624896649
2591,2590,0,4,3122,-1.006874442100525,0.15339618921279907,39.118568420410156,-134.20500202598575,20.428726383687497,5139.44792413222
2598,2597,0,4,3122,-0.9563080668449402,-0.12682563066482544,40.917293548583984,-83.9980377395365,-11.132220548923241,3631.6229501882144
2604,2603,0,4,3122,-0.9872279167175293,-0.017805108800530434,40.801570892333984,-83.01834411514635,-1.5101436175928749,3476.6983807674005
2612,2611,0,4,3122,-1.047003149986267,0.010313114151358604,40.47453308105469,-84.12926206316463,0.8206271792227472,3322.5303939274586
2613,2612,0,4,3122,-1.0996818542480469,-0.06095219403505325,40.5777587890625,-195.29159079682523,-10.779070209361679,7221.6188419841765
2614,2613,0,4,3122,-0.8989068865776062,0.11228663474321365,40.7406120300293,-204.93314049383554,25.68276020041168,9333.20714969074
2618,2617,0,4,3122,-0.9240731596946716,-0.02658085897564888,38.708858489990234,-177.1412809895528,-5.110142778945045,7452.878860524098
2619,2618,0,4,3122,-0.942730724811554,0.05058198794722557,39.24024963378906,-128.18286720011622,6.860722141739343,5367.5199607849345
2620,2619,0,4,3122,-0.9050043821334839,0.03258008882403374,40.872928619384766,-99.9143245646197,3.5866872055451635,4545.593838033459
2627,2626,0,4,3122,-1.1151320934295654,-0.10206838697195053,40.68346405029297,-120.72476993824307,-11.046095422604655,4400.791833443449
2636,2635,0,4,3122,-0.8739041686058044,0.04535898193717003,39.2313232421875,-279.0397365008368,14.514771386266684,12578.637000838362
2637,2636,0,4,3122,-1.0394201278686523,-0.19692176580429077,40.96110153198242,-178.19136673068985,-33.888975591628636,6949.604263903748
2639,2638,0,4,3122,-0.9933245182037354,0.19895251095294952,40.98331069946289,-101.83393993871364,20.40067371068467,4172.5368122157415
2642,2641,0,4,3122,-0.9859253764152527,0.13130775094032288,40.60736846923828,-84.81526683109601,11.291820082366357,3523.50710629608
2643,2642,0,4,3122,-0.9330752491950989,0.06035323813557625,40.7650146484375,-84.30121944133138,5.4249754855935475,3729.5999118604504
2648,2647,0,4,3122,-1.0505831241607666,0.08698839694261551,40.568912506103516,-138.56022161053028,11.468873120258724,5332.520581613194
2649,2648,0,4,3122,-0.8773612976074219,0.017489010468125343,38.41515350341797,-119.33309786687605,2.4099097879145153,5210.293052243718
2658,2657,0,4,3122,-1.1440720558166504,0.1277863085269928,40.790443420410156,-135.11481617563297,15.058812526558462,4830.267842084121
2662,2661,0,4,3122,-0.933788001537323,-0.0638422891497612,37.934818267822266,-235.8064574730653,-16.11133936927765,9602.379545543157
2663,2662,0,4,3122,-1.0932883024215698,0.04216522350907326,39.697322845458984,-104.0496909782299,3.984256028848868,3762.321056132198
2669,2668,0,4,3122,-0.9247235059738159,-0.13082674145698547,40.69111633300781,-185.75586513933584,-26.28132289185363,8221.838115793624
2670,2669,0,4,3122,-0.9200659394264221,0.06530988961458206,37.81083297729492,-92.43105493614351,6.539328808950183,3759.566593674879
2671,2670,0,4,3122,-1.060672640800476,0.09929224103689194,38.70382308959961,-96.84310700894058,9.06275057253978,3505.762723593727
2676,2675,0,4,3122,-0.9466992616653442,0.08024430274963379,38.54912567138672,-209.958365084284,17.755980512525124,8503.686642890989
2679,2678,0,4,3122,-0.9346648454666138,0.0638851746916771,40.01003646850586,-138.04473885836967,9.425994070575422,5924.1722008608385
2681,2680,0,4,3122,-0.9594653844833374,-0.16717380285263062,40.98973083496094,-108.68143897705598,-18.912006386313635,4601.888382840251
2686,2685,0,4,3122,-0.9416862726211548,-0.07430507242679596,40.694313049316406,-137.46174092843773,-10.823467776425582,5938.304689924528
2691,2690,0,4,3122,-1.0004371404647827,0.08656978607177734,40.90726852416992,-98.27007215318304,8.484854649592492,3996.2111445995315
2693,2692,0,4,3122,-0.9826766848564148,0.08075093477964401,39.87360382080078,-151.4055590817735,12.437135587189138,6148.780218852707
2695,2694,0,4,3122,-0.9675161242485046,-0.004039531107991934,40.96125411987305,-93.9199000071768,-0.3812908005701405,3983.7327275088637
2697,2696,0,4,3122,-1.0172725915908813,-0.008213451132178307,40.77568435668945,-118.42749629832818,-0.9148385166995585,4724.288279208105
2698,2697,0,4,3122,-0.9147676825523376,0.025245454162359238,39.22431182861328,-154.91748885721245,4.228963269077636,6673.221264044301
2699,2698,0,4,3122,-0.9383577108383179,-0.03729488328099251,38.028099060058594,-226.44566013938228,-9.010109427617891,9196.592607204591
2704,2703,0,4,3122,-0.9189314246177673,-0.1887938231229782,39.454933166503906,-93.83459754461184,-19.2667458678621,3976.681560864685
2713,2712,0,4,3122,-0.9939942955970764,0.10960584133863449,38.28865432739258,-251.8856776007712,27.788911717145467,9721.374145488795
2716,2715,0,4,3122,-1.120119333267212,-0.09700804203748703,40.538352966308594,-149.74909310980087,-12.936683623532641,5437.731966150778
2721,2720,0,4,3122,-0.933876633644104,-0.08998619019985199,38.816043853759766,-138.62631331384395,-13.334721649475725,5813.287281345081
2727,2726,0,4,3122,-1.1744253635406494,0.014165593311190605,40.8421516418457,-236.84779129609515,2.856059245237873,8271.312900610052
2733,2732,0,4,3122,-0.9365602135658264,-0.006887843366712332,39.79729461669922,-91.81149911394681,-0.6668459533493256,3878.5023226894846
2735,2734,0,4,3122,-0.9392050504684448,0.09113752841949463,38.635040283203125,-171.31787319698012,16.588820943987027,7054.762436306317
2741,2740,0,4,3122,-1.0937271118164062,0.07564658671617508,40.38399124145508,-386.34532749697377,26.7686896873329,14285.606702125631
2746,2745,0,4,3122,-0.9391170144081116,0.09162156283855438,39.839046478271484,-98.41963484176173,9.571930123191656,4122.162289591579
2752,2751,0,4,3122,-0.9392631649971008,-0.08551745116710663,40.53898620605469,-88.12173742509404,-8.025103019500813,3793.8417776122333
2753,2752,0,4,3122,-0.9008156657218933,0.004443666432052851,38.728370666503906,-107.92117572744827,0.5001158493608603,4691.638198332235
2755,2754,0,4,3122,-0.8877771496772766,0.04148045927286148,39.16449737548828,-74.026643500285,3.473082922783558,3311.002143252312
2759,2758,0,4,3122,-1.2012840509414673,-0.13364048302173615,40.85755920410156,-184.540109301571,-20.549758826230736,6272.399652243384
2765,2764,0,4,3122,-0.9512395262718201,-0.09142383188009262,38.934059143066406,-95.25481836745725,-9.189121665082729,3880.988384859317
2767,2766,0,4,3122,-0.966576337814331,-0.13674099743366241,38.89747619628906,-171.10399241784015,-24.153168026911885,6930.396733087501
2770,2769,0,4,3122,-1.1588374376296997,-0.07542715966701508,40.220733642578125,-269.674537003917,-17.52433614472047,9386.532292179178
2772,2771,0,4,3122,-1.0417711734771729,-0.031365979462862015,40.00695037841797,-193.41437283733288,-5.803738078076538,7446.525585868726
2779,2778,0,4,3122,-0.9700524806976318,0.03835231810808182,39.90073776245117,-84.81444818331838,3.384814803252664,3506.970745569458
2781,2780,0,4,3122,-0.9671133160591125,0.14206263422966003,40.712242126464844,-278.05285781761376,40.852490571909506,11738.026747614244
2784,2783,0,4,3122,-0.9304632544517517,-0.09443055838346481,39.388206481933594,-94.3584943552726,-9.532170598444385,3973.617903701017
2785,2784,0,4,3122,-1.0539156198501587,0.1546042412519455,39.66450500488281,-233.7245778888478,34.36784264199168,8872.945548845106
2788,2787,0,4,3122,-0.9743659496307373,-0.15975362062454224,40.507755279541016,-349.9955737526578,-57.38635049624109,14520.569827380361
2791,2790,0,4,3122,-0.9314428567886353,0.14209894835948944,40.69966125488281,-150.6390148578441,22.979689765321666,6632.058793826365
2794,2793,0,4,3122,-1.0945109128952026,0.04917779564857483,38.8399658203125,-223.35548054250728,10.046223100414648,8008.59330299229
2796,2795,0,4,3122,-1.0407533645629883,0.027389155700802803,39.51429748535156,-96.64453307659875,2.5522706504719976,3679.5417076560598
